ID,smiles,IC50,WT_score,Mut_score,score_diff,RMSD_diff,WT pose dist to mutation,Mut pose dist to mutation
OSM-S-548,Nc1cc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)ccc1Cl,0.045,-8.2,-8.3,0.10000000000000142,0.10140249832556715,5.3075886424687395,5.265780195987061
OSM-S-549,Nc1cccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)c1,2.8,-8.3,-8.6,0.29999999999999893,1.2600421585722086,5.772523052594204,5.716286407458936
OSM-S-550,CCc1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,0.144,-7.7,-8.7,0.9999999999999991,7.856153277618033,1.3245079603236194,4.573785007099592
OSM-S-551,O=C(O)c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,25.0,-8.8,-8.7,-0.10000000000000142,0.10719281692352346,4.732001291523227,4.837007791968417
OSM-S-552,O=C(O)c1cccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)c1,25.0,-8.1,-8.3,0.20000000000000107,0.4711843941954503,7.8491739864169,7.833925086387126
OSM-S-553,O=[N+]([O-])c1ccc(-c2nnc3cncc(OCCc4ccc(F)c(F)c4)n23)cc1,0.98,-8.4,-8.8,0.40000000000000036,0.36124769418187885,4.5410679462090835,4.785396834454353
OSM-S-557,OCC(COc1cncc2nnc(-c3ccc4cc[nH]c4c3)n12)c1ccccc1,0.069,-7.6,-8.5,0.9000000000000004,7.41362901427434,1.48565404194359,5.686558771354209
OSM-S-486,OCC(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccc(C(F)(F)F)cc1,1.15,-8.5,-8.4,-0.09999999999999964,0.5765335822209938,3.834792688884417,3.604703972364318
OSM-S-554,OC(COc1cncc2nnc(C3CCCNC3)n12)c1ccccc1,25.0,-8.0,-8.1,0.09999999999999964,0.3121804652074548,5.388333821835359,5.346407619540544
OSM-S-555,Fc1ccc(CCOc2cncc3nnc(C4CCCNC4)n23)cc1F,25.0,-8.0,-8.0,0.0,0.14221625886555417,4.106257173982486,4.216247630702606
OSM-S-556,OCC(O)(COc1cncc2nnc(-c3ccc(OC(F)F)cc3)n12)c1ccccc1,0.47,-8.1,-7.4,-0.6999999999999993,6.5605369583455735,5.386330382227962,5.386914051695252
OSM-S-558,CN(C)c1ccc(C2(COc3cncc4nnc(-c5ccc(OC(F)F)cc5)n34)COC(C)(C)O2)cc1,25.0,-8.5,-8.6,0.09999999999999964,0.5191437336771159,3.675137627467385,3.382165363081608
